epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.26522,1.14476,2.73687,1.09954,0.00362,0.9697,0.82623,0.54815,1.0597,3.44801,0.96852,0.00036,0.00036,0.00036
2,14.2303,1.19862,1.73927,1.12165,1,0.04214,0.20678,0.14049,1.09964,3.78675,1.10953,0.000732674,0.000732674,0.000732674
3,19.6924,1.19669,1.63051,1.13717,0.89947,0.2712,0.37591,0.22403,1.46307,3.53849,1.32769,0.00109782,0.00109782,0.00109782
4,24.394,1.18108,1.51792,1.12025,1,0.61472,0.85004,0.59652,1.15471,2.69642,1.09017,0.00145545,0.00145545,0.00145545
5,31.0029,1.13471,1.44586,1.11806,0.88216,0.6806,0.74634,0.47312,1.37535,2.30271,1.23499,0.00180555,0.00180555,0.00180555
6,35.6985,1.1649,1.31648,1.11014,0.66756,0.73023,0.62143,0.37697,1.24273,1.92157,1.17721,0.001901,0.001901,0.001901
7,42.4324,1.15844,1.19242,1.1094,0.80439,0.72727,0.79816,0.53281,1.32861,1.88856,1.21318,0.0018812,0.0018812,0.0018812
8,47.4539,1.16991,1.18687,1.15782,0.84777,0.72727,0.80509,0.51887,1.32512,1.6594,1.25401,0.0018614,0.0018614,0.0018614
9,53.665,1.10673,1.10727,1.12313,0.84599,0.66586,0.7345,0.49733,1.18373,1.8305,1.14974,0.0018416,0.0018416,0.0018416
10,59.7213,1.11672,1.05823,1.12625,0.84229,0.77273,0.83977,0.5338,1.22415,1.40345,1.14251,0.0018218,0.0018218,0.0018218
11,65.5044,1.09521,0.99869,1.11512,0.8643,0.77205,0.86324,0.53827,1.27915,1.60315,1.15201,0.001802,0.001802,0.001802
12,71.109,1.08814,0.92715,1.10095,0.86563,0.90909,0.94297,0.61838,1.21897,1.06512,1.11757,0.0017822,0.0017822,0.0017822
